"Type","Content"
"CEBPHRASE","Ug mausa pa untà ang ákung hunàhúnà pagbíyà kaníya!"
"TEXT","If only I could make up my mind to leave her!"
"NUMBER","2"
"CLASS","[b(1)]"
"TEXT","do s.t. with one hand where both hands are usually used."
"CEBPHRASE","Gaan ra ning aswátun, usaan ra nákù ni,"
"TEXT","This is easy to pick up. I’ll do it with one hand."
"CEBPHRASE","Sumbagay ta, usaan ta ka,"
"TEXT","Let’s have a fight. I’ll beat you with one hand."
"NUMBER","3"
"CEBWORD","walay ma-"
"TEXT","no one, not a single soul."
"CEBPHRASE","Walay mausang mitábang kanákù,"
"TEXT","Not a single person helped me."
"CEBWORD","(←)"
"WORDTYPE","v"
"NUMBER","1"
"CLASS","[C; a12]"
"TEXT","group things together in one."
"CEBPHRASE","Mag-úsa lang ta dinhis kwartu,"
"TEXT","Let’s just stay together in the room."
"CEBPHRASE","Usáhun ta na lang ni arun usa ray sudlan,"
"TEXT","Let’s just put this together so we use only one container."
"NUMBER","2"
"CLASS","[a12]"
"LINK","usa: v1."
"CEBWORD","hi-(←)"
"WORDTYPE","v"
"CLASS","[B126C3]"
"TEXT","be, become united or unanimous."
"CEBPHRASE","Naghiúsa sila sa pagpapuyra sa suluguun,"
"TEXT","They were unanimous in wanting to have the servant fired."
"CEBPHRASE","Nahiúsa ang ílang hukum human makabatì sa tinúud,"
"TEXT","Their decision became unanimous after they heard the truth."
"CEBWORD","usaúsa"
"WORDTYPE","n"
"TEXT","get-together party."
"WORDTYPE","v"
"CLASS","[C]"
"TEXT","have a get-together party."
"CEBWORD","usáhay"
"TEXT","sometimes, occasionally."
"CEBPHRASE","Usáhay dì ku makadungug,"
"TEXT","Sometimes I cannot hear."
"CEBWORD","binagsa"
"LINK","tinagsa: v1."
"CEBWORD","inusára"
"WORDTYPE","v"
"NUMBER","1"
"CLASS","[A]"
"TEXT","be by oneself, alone."
"CEBPHRASE","Ug manglákaw sila mag-inusára lang ku áning baláya,"
"TEXT","If they leave, I will be alone in this house."
"NUMBER","2"
"CLASS","[A1; a12]"
"TEXT","do s.t. alone by oneself."
"CEBPHRASE","ákung inusaráhun lag dáru,"
"TEXT","I will do the plowing alone."
"CEBWORD","inusaranhun"
"WORDTYPE","a"
"TEXT","characterized by being all by oneself."
"CEBPHRASE","Kinabúhing inusaranhun,"
"TEXT","A life all alone by oneself."
"CEBWORD","maka-, ka-, kas-a"
"TEXT","once."
"CEBPHRASE","Kausa (kas-a) miadtu siya sa balay,"
"TEXT","He came to the house once."
"WORDTYPE","v"
"CLASS","[A12; a12]"
"TEXT","do s.t. to s.t. all at one time."
"CEBPHRASE","Maáyu untà ug makas-a nig lútù,"
"TEXT","It would be nice if these could be cooked all at one time."
"CEBWORD","kag-usà"
"TEXT",","
"CEBWORD","makag-usà"
"TEXT",","
"CEBWORD","tag-usà"
"LINK","talagsa"
"CEBWORD","kahiusáhan"
"WORDTYPE","n"
"NUMBER","1"
"TEXT","state of being united."
"NUMBER","2"
"TEXT","marriage."
"CEBPHRASE","Karung adláwa mau ang kahiusáhan níla ni Idyun ug ni Bilma,"
"TEXT","The wedding of Edion and Vilma will take place today."
"CEBWORD","ulusáhun"
"WORDTYPE","a"
"TEXT","wondrous, unique or peculiar."
"CEBPHRASE","Adtu nímu makítà sa sú ang mga mananap nga ulusáhun ug mga hitsúra,"
"TEXT","You will see strange and peculiar animals in the zoo."
"CEBPHRASE","Si Samsun sa karáang panahun mauy usa ka táwu nga may ulusáhung kusug,"
"TEXT","Samson of ancient times was a man of extraordinary strength."
"CEBWORD","tagsa"
"WORDTYPE","n"
"NUMBER","1"
"TEXT","one apiece."
"CEBPHRASE","Tagáan ta mug tagsa,"
"TEXT","I’ll give you each one."
"CEBWORD","tagsa ray púlung"
"TEXT","of few words."
"CEBPHRASE","Kun muingung dílì, hustu ra, dílì giyud. Tagsa ray púlung niánang tawhána,"
"TEXT","If he says no it is no, period. He is a man of few words."
"NUMBER","2"
"LINK","talagsa"
"CEBWORD","tagsatagsa"
"WORDTYPE","v"
"CLASS","[A1; c1]"
"TEXT","do s.t. one by one."
"CEBPHRASE","Magtagsatagsa na lang tag pamaúlì,"
"TEXT","Let us now go home one by one."
"CEBWORD","igtagsa"
"WORDTYPE","n"
"TEXT","one’s first cousin."
"CEBWORD","magtagsa"
"WORDTYPE","n"
"TEXT","being first cousins."
"CEBWORD","talagsa"
"WORDTYPE","a"
"TEXT","seldom."
"CEBPHRASE","Talagsa ka ra man mamisíta nákù,"
"TEXT","You seldom visit me."
"CEBWORD","talagsay búngut"
"TEXT","it will be a long time before [so-and-so] happens."
"CEBPHRASE","Talagsa lay búngut ug makigsulti ku níya,"
"TEXT","Don’t expect me to talk to him for a long, long time."
"CEBWORD","panalagsa"
"WORDTYPE","a"
"TEXT","being at great intervals."
"CEBPHRASE","Unyà mihagtuk sa atup nga sín ang panalagsang ulan,"
"TEXT","Then a few scattered raindrops rattled on the tin roof."
"WORDTYPE","v"
"CLASS","[A; b6]"
"TEXT","do s.t. once in a while, at infrequent intervals."
"CEBPHRASE","Panalagsai akug dúaw,"
"TEXT","Come visit me once in a while."
"CEBWORD","talagsaun"
"WORDTYPE","a"
"NUMBER","1"
"TEXT","rare, few."
"CEBPHRASE","Talagsaun ra ang asáwa nga makaagwanta sa íyang pagkabána,"
"TEXT","Few wives could bear the sort of husband he makes."
"CEBPHRASE","Ang 1904 nga salapì talagsaun kaáyu,"
"TEXT","The 1904 fifty-centavo coin is very rare."
"NUMBER","2"
"TEXT","extraordinary."
"CEBPHRASE","Talagsaun kaáyu ang íyang kaanyag,"
"TEXT","Her beauty is remarkable."
"CEBWORD","— ra pud"
"TEXT","<i lang=""cebword"">phrase said in reaction to s.t. unbelievable:</i> ‘that’s unheard of!’ <i lang=""cebword"">‘Mukanta na run nà siya.’—‘Talagsaun ra pud.’</i> ‘Now he’s going to sing for us.’—‘The hell I will!’"
"CEBWORD","tinagsa"
"WORDTYPE","v"
"NUMBER","1"
"CLASS","[A; a]"
"TEXT","do one at a time."
"NUMBER","2"
"CLASS","[AC; b]"
"TEXT","do the <i lang=""cebword"">tinagsa</i> dance."
"WORDTYPE","a"
"TEXT","done one at a time."
"WORDTYPE","n"
"TEXT","k.o. folk dance in pairs, wherein the man tries to court an elusive woman, following her with courtship movements wherever she goes."
